id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33107392,Old Québec City (Vieux Port),26179404,Sylvio And Carolina,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81539,-71.20381,Entire home/apt,150,3,17,2020-03-16,0.79,1,152
33108183,Grand 2BR & 2 Floors with private terrace,249204829,David,,Saint-Jean-Baptiste,46.81194,-71.21998,Entire home/apt,173,1,209,2020-01-20,8.27,1,169
33110370,Loft Vieux Québec à louer à l'année tout compris,235661919,Julie,,Saint-Jean-Baptiste,46.8093,-71.22317,Entire home/apt,150,7,2,2019-06-30,0.08,1,363
33114624,Old Quebec 1 bedroom apartment & private terrace,28997468,Emilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81623,-71.2055,Entire home/apt,57,31,4,2019-12-06,0.26,1,276
33117024,Bienvenue chez-vous (1),249292109,Christine,,Saint-Sauveur,46.80823,-71.23499,Entire home/apt,100,1,180,2019-12-12,6.44,3,67
33135076,MODERN HOUSE QUÉBEC CITY,9683226,Miguel,,Saint-Louis,46.76034,-71.29241,Entire home/apt,245,2,5,2019-12-29,0.27,1,80
33137347,Logement convivial et rénové au Centre-Ville,237657935,Nancy,,Saint-Sauveur,46.81491,-71.24205,Entire home/apt,105,2,4,2019-09-02,0.16,1,0
33139375,Grand appart lumineux - Bright and spacious flat,147545050,Guillaume,,Vieux-Limoilou,46.82138,-71.22426,Entire home/apt,59,2,50,2019-10-10,1.88,1,0
33163503,Au bon repos (4),249292109,Christine,,Saint-Sauveur,46.80719,-71.23652,Entire home/apt,100,1,159,2019-11-11,5.69,3,80
33164738,Charmante maison avec jardin au coeur de Québec,13004568,Hélène,,Saint-Sacrement,46.79628,-71.2498,Entire home/apt,180,2,7,2019-07-25,0.25,1,122
33221779,The Palace Condo | Old Port | 3 ch-6pers,27326825,François,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81604,-71.21481,Entire home/apt,313,2,75,2020-03-11,2.78,21,143
33222451,In Quebec 2 1/2 in the old limoilou AU MONTH,88278269,Claude,,Vieux-Limoilou,46.82685,-71.2327,Entire home/apt,30,31,2,2020-09-26,0.08,4,216
33225995,very nice place for any season,250173580,Laura,,Pointe-de-Sainte-Foy,46.76074,-71.33384,Entire home/apt,250,5,0,,,1,0
33226002,Votre ancestrale le temps d'une escale.,19833706,Hubert,,Quartier 5-2,46.87546,-71.21666,Private room,180,1,0,,,1,131
33261106,Spacious Sunny Apartment Quebec (monthly rental),104604964,Roger,,Vanier,46.81729,-71.26517,Entire home/apt,109,32,45,2020-01-02,1.67,2,247
33275494,Charming house downtown of Qc city with 1 parking,2031271,Louis-Philippe,,Montcalm,46.80067,-71.23713,Entire home/apt,225,2,8,2019-07-27,0.34,1,0
33311121,Bright family cottage near downtown Quebec City,250912633,Julien,,Saint-Sacrement,46.78915,-71.2539,Entire home/apt,450,7,2,2019-08-03,0.08,1,0
33314568,Private room/parking space/TV/WiFi/no basement!,105777160,Mosi,,Cité Universitaire,46.78585,-71.26677,Private room,100,5,9,2019-06-03,0.33,8,0
33330246,Chambre dorée avec vue sur le Grand Qc!,76364280,Laurence,,Saint-Jean-Baptiste,46.80859,-71.22596,Private room,85,1,3,2019-06-24,0.12,2,0
33333038,2 chambres • Animaux acceptés • Garage • Foyer,230798113,Dave,,Vieux-Limoilou,46.82135,-71.24222,Entire home/apt,149,2,79,2020-03-01,2.90,1,199
33342585,Perfect appartment for families!,225680068,Alexandre,,Cité Universitaire,46.77795,-71.30079,Entire home/apt,13127,1,47,2019-08-17,1.73,1,0
33346440,L'appartement proche de tout!,32058067,Rachel Jenny,,Maizerets,46.82511,-71.21935,Entire home/apt,50,3,15,2019-04-21,0.55,1,0
33360635,Maison d’artiste a Québec,237951891,Janick,,L'Aéroport,46.77237,-71.37814,Private room,50,1,9,2019-07-12,0.33,2,365
33421615,Luxurious Apartment with Monthly Discounts!,103049466,Marie-Benedicte,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81723,-71.21156,Entire home/apt,90,30,0,,,1,362
33430266,Un nid douillet et charmant à Québec vous attend !,18764194,Alexi Et Caroline,,Des Châtels,46.856,-71.40847,Private room,44,2,14,2019-08-30,0.52,1,84
33487207,VUE SUR LE FLEUVE @ BEAUPORT. 2 chambres à coucher,206157337,André,,Chutes-Montmorency,46.87008,-71.17136,Entire home/apt,65,31,1,2020-01-15,0.06,14,51
33514645,superbe condo 2 chambre,128317267,Felix,,Des Châtels,46.85105,-71.40236,Entire home/apt,65,2,2,2019-07-27,0.08,1,124
33519660,Huge condo in former convent in Limoilou,206157337,André,,Vieux-Limoilou,46.82458,-71.22318,Entire home/apt,65,31,1,2020-10-04,0.11,14,333
33529109,Chaleureux sous-sol réservé aux voyageurs,252645081,Thérèse,,Vieux-Moulin,46.85113,-71.20609,Private room,70,2,43,2019-09-06,1.65,1,92
33530437,Right in the center of Quebec City,252658754,Andre,,Saint-Jean-Baptiste,46.81218,-71.22186,Entire home/apt,210,3,32,2020-02-10,1.40,2,234
33577864,A deux pas des Plaines d'Abraham,156758317,Eric Et Nathalie,,Saint-Jean-Baptiste,46.80387,-71.2219,Entire home/apt,45,90,1,2019-10-05,0.05,6,267
